,Listing #,host_is_superhost,accommodates,bedrooms,bathrooms_number,beds,num_amenities,number_of_reviews,instant_bookable,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,income,price,log_price
25745,38701213,0,1,1.0,2.0,1.0,21,1,1,0,1,0,0,0,0,1,31406,43.0,3.7612001156935624
25746,38701256,0,1,1.0,2.0,1.0,20,0,1,0,1,0,0,0,0,1,31406,43.0,3.7612001156935624
25747,38701295,0,1,1.0,2.0,1.0,24,0,1,0,1,0,0,0,0,1,31406,40.0,3.6888794541139363
25748,38701340,0,8,4.0,2.0,4.0,23,1,1,0,1,0,0,1,0,0,31406,163.0,5.093750200806762
25749,38702827,0,1,1.0,1.0,1.0,25,3,1,0,0,1,0,0,0,1,50985,119.0,4.77912349311153
25750,38703384,0,1,1.0,1.0,1.0,24,8,1,0,0,1,0,0,0,1,50985,99.0,4.59511985013459
25751,38703473,0,4,1.0,1.0,1.0,20,3,1,0,1,0,0,1,0,0,31406,99.0,4.59511985013459
25752,38703550,0,1,1.0,1.0,1.0,30,15,0,0,1,0,0,0,0,1,31406,50.0,3.912023005428146
25753,38703805,1,1,1.0,1.0,1.0,24,12,0,0,1,0,0,0,0,1,31406,29.0,3.367295829986474
25754,38703932,0,1,1.0,1.0,1.0,24,5,1,0,0,1,0,0,0,1,50985,99.0,4.59511985013459
25755,38704132,0,1,1.0,1.0,1.0,24,4,1,0,0,1,0,0,0,1,50985,99.0,4.59511985013459
25756,38704145,1,3,2.0,1.0,3.0,23,41,1,0,1,0,0,1,0,0,31406,92.0,4.5217885770490405
25757,38704775,0,1,1.0,2.0,1.0,32,1,1,0,0,1,0,0,0,1,50985,99.0,4.59511985013459
25758,38705874,0,2,1.0,1.5,1.0,11,0,1,0,1,0,0,0,0,1,31406,55.0,4.007333185232471
25759,38707413,0,2,1.0,1.0,1.0,23,0,0,0,1,0,0,0,0,1,31406,70.0,4.248495242049359
25760,38720591,0,4,1.0,1.0,1.0,26,2,0,0,1,0,0,1,0,0,31406,170.0,5.135798437050262
25761,38720866,0,2,1.0,1.0,1.0,19,2,0,0,1,0,0,0,0,1,31406,70.0,4.248495242049359
25762,38721740,0,3,0.0,1.0,1.0,26,11,1,0,0,1,0,1,0,0,50985,120.0,4.787491742782046
25763,38722994,0,6,2.0,1.0,3.0,28,2,0,0,1,0,0,1,0,0,31406,400.0,5.991464547107982
25764,38723328,0,2,1.0,1.0,2.0,28,12,1,0,0,0,1,0,0,1,31992,89.0,4.48863636973214
25765,38723597,0,1,1.0,1.0,1.0,16,0,1,0,0,0,1,0,0,1,31992,75.0,4.31748811353631
25766,38723925,1,3,1.0,1.0,1.0,30,2,0,0,1,0,0,1,0,0,31406,155.0,5.043425116919247
25767,38724583,0,1,1.0,1.0,1.0,4,14,1,0,0,0,1,0,0,1,31992,88.0,4.477336814478207
25768,38725174,0,2,1.0,1.0,1.0,28,13,1,0,0,0,1,0,0,1,31992,79.0,4.3694478524670215
25769,38725189,1,8,2.0,1.0,5.0,34,30,0,0,0,0,0,1,0,0,39777,149.0,5.003946305945459
25770,38725893,0,1,1.0,1.0,1.0,24,8,0,0,0,1,0,0,0,1,50985,44.0,3.784189633918261
25771,38726243,0,2,1.0,1.0,2.0,26,3,1,0,0,1,0,1,0,0,50985,70.0,4.248495242049359
25772,38726310,0,2,1.0,1.0,2.0,26,10,1,0,0,0,1,0,0,1,31992,89.0,4.48863636973214
